Symptom,Variation,Patient Description
low back swelling,1,"“It’s just… this persistent ache in my lower back. And it’s gotten worse, really swollen down there, especially after I’ve been standing for a long time.”"
low back swelling,2,"“It’s just… this awful ache in my lower back. And there’s this really noticeable swelling, like it’s puffed up. It’s getting worse just moving, even small movements.”"
low back swelling,3,"“It’s just… this area here, mostly along my spine, it’s gotten really puffy. Like it’s swollen, and it’s starting to feel like it’s pressing on things.”"
low back swelling,4,"“It’s just… this awful ache down there. And it’s getting bigger, almost like a swelling. It’s really stiff, especially in the mornings, and it’s hard to move without a lot of pain.”"
ankle swelling,1,"“It’s just… my ankle. It’s been getting really puffy, especially after I’ve been on my feet all day. It’s not a constant thing, but it’s noticeable, and it feels tight.”"
ankle swelling,2,"“It’s just… my ankle. It’s been really puffy, you know? Like, constantly swollen. Especially after I’ve been on my feet, but even when I’m resting, it’s still there. It feels tight and uncomfortable.”"
ankle swelling,3,"“It’s just… my foot feels really heavy, and there’s this swelling down there. Like, a lot of it. It’s gotten worse over the last few days, especially after I’ve been on my feet.”"
ankle swelling,4,"“It’s just… this leg. It’s been getting bigger, especially in the evenings. Like, really puffy. It’s mostly around my ankle, feels tight and heavy, and it’s hard to move my foot properly.”"
hip lump or mass,1,"“It’s just… there’s this thing in my hip. It’s kind of hard, and it’s gotten bigger a little bit over the last few weeks. It doesn’t really hurt, just feels…present.”"
hip lump or mass,2,"“It’s just this… this bump on my hip. It wasn’t there a few months ago, and it’s gotten a bit bigger, feels kind of hard. I'm a bit worried about it, to be honest.”"
hip lump or mass,3,"“It’s just… there’s this thing on my hip. It feels kind of hard, like a little bump. It wasn’t there last week, and it’s gotten a bit bigger, honestly. It doesn’t really hurt, just… noticeable.”"
hip lump or mass,4,"“It’s just…there’s this little bump on my hip. It wasn’t there a few months ago, and it’s gotten a bit bigger, feels kind of hard. I’m a little worried about it, to be honest.”"
drainage in throat,1,"“It’s just… this constant scratchiness in my throat. It feels like something’s always trying to get in, and there’s a little bit of drainage, mostly clear, but it’s persistent. It’s really bothering me, especially when I talk.”"
drainage in throat,2,"“It’s just… this constant scratchiness, you know? Like something’s always trying to get past my throat. And there’s this little bit of drainage, mostly clear, but it’s there, especially after I swallow.”"
drainage in throat,3,"“It’s just… this constant scratchiness, you know? Like something’s always trying to get past my throat. And there’s this little bit of… well, it’s just coming out, a little bit of fluid, mostly when I swallow.”"
drainage in throat,4,"“It’s just… this persistent feeling like something’s stuck in my throat, you know? Like, when I swallow, it feels really scratchy and I’ve noticed a little bit of… well, it’s coming up, a bit of fluid, mostly clear, when I clear my throat. It’s not constant, but it happens quite a few times a day.”"
dry or flaky scalp,1,"“It’s just… my scalp. It’s really dry, like, constantly dry. And it flakes, you know? Little bits just fall off when I run my fingers through it. It’s starting to itch too, which I’m sure is connected.”"
dry or flaky scalp,2,"“It’s just… my scalp feels really rough. Like, constantly dry or flaky, especially after I’ve been styling my hair. It’s not itchy, just… uncomfortable.”"
dry or flaky scalp,3,"“It’s just… my scalp feels really rough. Like, constantly dry and it flakes off a little bit, especially after I’ve been washing it. It’s not itchy, which is weird, but it’s just… uncomfortable.”"
dry or flaky scalp,4,"“It’s just… my scalp feels really rough. Like, constantly dry and flaky, especially after I’ve been outside a little bit. It’s just irritating, and I’m worried it might be something more than just dry skin.”"
premenstrual tension or irritability,1,"“It’s just… it’s getting really hard to manage. For about a week or so before my period starts, I just feel so on edge. Really irritable, snapping at people, and just generally tense. It’s like my nerves are frayed, and I can’t seem to shake it off.”"
premenstrual tension or irritability,2,"“It’s just… it’s gotten so much worse lately. Like, a week or so before my period starts, I just feel this incredible tension, like my muscles are constantly clenched. And I get so irritable, snapping at everyone, just feeling really on edge. It’s exhausting, honestly.”"
premenstrual tension or irritability,3,"“It’s just… really hard to manage my mood, you know? Like, a few days before my period starts, I just feel so on edge. Really irritable, and I get this awful tension in my muscles, especially my shoulders. It’s exhausting, and I feel like I’m constantly snapping at people.”"
premenstrual tension or irritability,4,"“It’s just…really hard to manage sometimes. Like, a few days before my period, I just feel so on edge, you know? Easily frustrated, and I get this tightness in my chest. It’s awful, makes me snap at my husband over little things, and I just want to hide away.”"
feeling hot,1,"“It’s just… a really persistent warmth, you know? Like I’m constantly running a low-grade fever, but I don’t actually feel like I am. It’s mostly in my chest and stomach, and it comes and goes, but when it’s there, it’s just… intensely hot.”"
feeling hot,2,"“It’s just…like a constant warmth, you know? Not sweaty, but like my skin is always a little too hot. It comes and goes, and I don’t really know what triggers it.”"
feeling hot,3,"“It’s just… a really persistent warmth, you know? Like I’m carrying a furnace around inside me, especially in the afternoons. It’s not just flushed, it’s like a deep, constant heat that doesn't seem to respond to anything.”"
feeling hot,4,"“It’s just… a really intense warmth, you know? Like, my skin feels prickly and I just feel… hot. Not just a little flushed, but like a deep, internal heat. It comes and goes, and it’s really unsettling.”"
feet turned in,1,"“It’s just… walking feels a little awkward, you know? Like my feet are sort of pointing inwards when I take a step. It’s not constant, but it happens quite a bit, especially when I’m tired.”"
feet turned in,2,"“It’s just… lately, when I stand still for too long, my feet just kind of turn in, you know? Like I’m trying to face forward but they’re pulling inwards.”"
feet turned in,3,"“It’s just… walking sometimes feels really awkward. Like I’m not quite balanced, and my feet just sort of drift inwards, you know? It’s more noticeable when I’m trying to walk quickly or on uneven ground.”"
feet turned in,4,"“It’s just… walking sometimes feels really strange. Like my feet just sort of want to point inwards. It’s not constant, but when I’m on my feet for a while, it gets worse, you know? Like I’m not quite balanced.”"
foot or toe stiffness or tightness,1,"“It’s just… my feet, you know? They feel really tight, especially in the mornings. Like they’re frozen, and it takes me a good ten minutes of just wiggling them to get them moving properly.”"
foot or toe stiffness or tightness,2,"“It’s just… my feet. They feel so tight, like they’re glued together, especially in the mornings. It’s hard to move them properly, and it’s been getting worse lately.”"
foot or toe stiffness or tightness,3,"“It’s just… sometimes, especially first thing in the morning, my feet feel really locked up. Like they’re just… tight. It's hard to move them right away, and it kind of eases up as I walk around a bit.”"
foot or toe stiffness or tightness,4,"“It’s just… my feet, you know? They feel really tight, like they’re stuck. Especially in the mornings, it’s like I can barely move my toes, and they’re just so stiff.”"
pelvic pressure,1,"“It’s just… this constant pressure, you know? Deep down there, in my pelvis. It comes and goes, but when it’s really bad, it feels like something’s sitting on me. It’s really uncomfortable and makes it hard to relax.”"
pelvic pressure,2,"“It’s just… a really heavy feeling down there. Like a constant pressure, mostly when I’m sitting or lying still. It doesn’t really come and go, it’s just always there, you know?”"
pelvic pressure,3,"“It’s just… a constant feeling down there. Like something’s pressing on me, you know? It’s not sharp, but it’s always there, and it gets worse when I’m sitting for a long time.”"
pelvic pressure,4,"“It’s just… a constant ache down there. Like something’s pressing in, you know? It’s particularly bad when I’m sitting for a long time, and it kind of radiates outwards a bit.”"
elbow swelling,1,"“It’s just… this joint in my elbow, it’s been really bothering me. It’s gotten puffy, you know? Like it’s swollen, especially after I’ve been doing a little bit of gardening.”"
elbow swelling,2,"It’s just… my elbow, it’s gotten really puffy. Like, constantly. It’s not always there, but when it is, it’s just… swollen. It feels a bit stiff too, especially in the mornings."
elbow swelling,3,"“It’s just… this joint in my elbow, it’s gotten really puffy lately. Like, noticeably swollen, especially after I’ve been doing a little gardening. It doesn’t really hurt, just feels… full.”"
elbow swelling,4,"“It’s just… this joint in my elbow, it’s been getting really puffy. Like, noticeably swollen. It’s hard to move sometimes, and it’s just… uncomfortable.”"
elbow stiffness or tightness,1,"“It’s really getting in the way of things. Especially in the mornings, I just can’t quite get my arm moving properly. It’s this… elbow stiffness or tightness, like it’s frozen up until I’ve been moving around for a bit.”"
elbow stiffness or tightness,2,"“It’s just… my elbow. It feels really tight, almost like it’s jammed up. Especially in the mornings, when I first start to move around, it’s just stiff and doesn't want to bend easily.”"
elbow stiffness or tightness,3,"“It’s just… my arm. It feels really tight, especially in the joint at my elbow. Like it’s stuck, and it’s hard to bend it fully, you know? It’s particularly bad in the mornings.”"
elbow stiffness or tightness,4,"“It’s just… my arms, you know? Especially in the mornings. When I try to reach for things, there’s this awful, stiff feeling in my elbows. Like they’re frozen, and it takes me a good minute or two to loosen up.”"
early or late onset of menopause,1,"“It’s just… it’s really unpredictable. One month I’m fine, and then suddenly I’m just wiped out, like I haven’t slept in days. And it seems to be happening at odd times – sometimes it’s early in the morning, sometimes late at night. It’s really throwing off my mood, too, and I’m worried it might be linked to some sort of early or late onset of menopause.”"
early or late onset of menopause,2,"“It’s just…it’s gotten really weird lately. For the last six months, I’ve been having these crazy mood swings, like I’m crying one minute and furious the next. And then there’s the hot flashes – they’re not just hot, they’re debilitating. It’s happening at all times of day, sometimes even when it’s cold. It’s really disrupting my sleep and everything feels so unstable.”"
early or late onset of menopause,3,"“It’s just… really unpredictable. Some months I’m fine, totally normal, and then others, it’s like everything’s changing at once. Hot flashes are there, definitely, but it’s more the mood swings, the anxiety, the just feeling… off. And it seems to be happening at odd times, not just when it’s hot.”"
early or late onset of menopause,4,"“It’s just…it’s been really strange lately. The hot flashes started maybe six months ago, but they’re not just happening at night anymore. They’re popping up at random times, during the day, and it’s throwing off my whole schedule. And honestly, I’ve felt just completely wiped out, like I’m running on empty, even after a good night’s sleep. It’s like my energy levels just…fluctuate wildly.”"
mass on ear,1,"“It’s just… this lump. It’s on my left ear, right near the top. It wasn’t there last week, and it’s gotten a little bigger, feels kind of hard. I’m not sure what it is, but it’s starting to worry me a little.”"
mass on ear,2,"“It’s just… there’s this lump. It’s on my left ear, right near the top. It wasn’t there last week, I’m pretty sure. It’s not painful, but it’s just… unsettling.”"
mass on ear,3,"“It’s just… there’s this lump there. On my ear. It wasn’t there last week, and it’s gotten a little bigger, almost like it’s pushing outwards.”"
mass on ear,4,"“It’s just… this lump. It kind of appeared a couple of weeks ago, just sort of grew there. It's not really painful, but it’s getting a bit annoying and it’s a little swollen, you know? It’s right here on my ear.”"
bleeding from ear,1,"“It’s just… this weird dripping. It started about three days ago, and it’s this constant, clear fluid coming out of my ear. It’s annoying, and honestly, a little scary, because it just keeps coming, even when I tilt my head every which way.”"
bleeding from ear,2,"“It’s just… this awful throbbing, and then, like, little bits of blood keep popping out of my ear. It started a couple of days ago, just a little trickle, but now it’s getting worse.”"
bleeding from ear,3,"“It’s just…this weird discharge. It started a few days ago, and it’s getting worse. There’s a constant trickle, like water, coming out of my ear. It’s a little red and crusty, too.”"
bleeding from ear,4,"“It’s just… this weird seepage. Like, if I tilt my head just right, there’s this little drip coming from my ear. It’s not constant, but it’s been happening for about a week now, and it’s starting to worry me a little.”"
hand or finger weakness,1,"“It’s just… my hands. They feel so heavy sometimes, like I’m trying to lift weights with them. Especially in the mornings, and it gets worse as the day goes on. It’s hard to button my shirt, you know? And sometimes when I’m just trying to hold a cup, it feels like they’re going to give way.”"
hand or finger weakness,2,"“It’s just… lately, my hands have been getting so weak. Like, I can barely button my shirt, or even pick up a glass without feeling like my fingers are just about to give way.”"
hand or finger weakness,3,"“It’s just… sometimes when I’m trying to button my shirt or pick up a pen, my hand just feels like it’s not quite there. Like it’s giving way underneath me. It’s mostly in my left hand, and it comes and goes, but it’s getting more frequent, you know?”"
hand or finger weakness,4,"“It’s just… lately, my hands have been getting so clumsy. Like I’m fighting to hold onto things, you know? Picking up a fork feels really difficult, and sometimes my fingers just sort of… give way.”"
low self-esteem,1,"“It’s just… it feels like I’m constantly falling short. Like I’m failing at everything, even the little things. I just don't feel good about myself, you know? Like there’s this little voice in my head telling me I’m not worthy, or that I’m not capable.”"
low self-esteem,2,"“Honestly, it just feels like… like I’m constantly falling short. I keep messing things up at work, and even small things at home, like cooking or cleaning, just feel overwhelming. I find myself withdrawing from people, convinced they’re judging me, and I just… I don’t really value myself much anymore.”"
low self-esteem,3,"“It just… it feels like I’m constantly falling short. Like I’m failing at everything, even the little things. I keep comparing myself to other people, and I always come up lacking. It’s exhausting, honestly. I just don't seem to have any confidence in myself, you know? It’s hard to get out of bed some days, just because I feel so… worthless.”"
low self-esteem,4,"“It just… it feels like I’m constantly falling short. Like I’m failing at everything, even little things. I catch myself comparing myself to other people and just feeling… inadequate. It’s exhausting, and I don’t know how to shake it. It’s like a weight I’m carrying around all the time.”"
throat irritation,1,"“It’s just… my throat feels really scratchy, you know? Like something’s stuck in there, and it’s particularly bad when I talk or yawn.”"
throat irritation,2,"“It’s just… my throat feels really scratchy, you know? Like something’s irritating it. It’s not a pain, exactly, but it’s constantly feeling raw and I can’t seem to get rid of it.”"
throat irritation,3,"“It’s just… this persistent scratchiness in my throat. It feels like something’s always trying to get in, and it’s really bothering me, especially when I talk or yawn.”"
throat irritation,4,"“It’s just… this persistent tickle in my throat. It’s like nothing sits right, and I’ve been clearing my throat constantly, even when it doesn’t feel like I have anything in it.”"
itching of the anus,1,"“It’s just… really persistent. Especially after I go to the bathroom. It’s like a constant itch, right around the back – it’s driving me crazy.”"
itching of the anus,2,"“It’s just… really persistent. Like a constant urge to scratch, especially after I’ve been sitting for a long time. It’s driving me crazy, honestly. It’s not painful, just this awful, deep itch around my bottom.”"
itching of the anus,3,"“It’s just… a really persistent feeling. Like something’s constantly rubbing against me down there. It’s mostly when I’ve just gone to the bathroom, but it lingers. It’s incredibly distracting and makes me feel so self-conscious.”"
itching of the anus,4,"“It’s just… really uncomfortable down there. Like a constant, insistent tickle, especially after I go to the bathroom. It’s driving me crazy, and I don’t know what to do about it.”"
swollen or red tonsils,1,"“It’s just… my throat feels really scratchy, and there’s this awful pressure up here. My tonsils are massively swollen and red, like they’re pulsing. It hurts to swallow, even just water.”"
swollen or red tonsils,2,"“It’s just… really sore in the back of my throat. And my tonsils feel so swollen and red, like they’re pulsing. It’s making it really hard to swallow, and everything tastes funny.”"
swollen or red tonsils,3,"“It’s just… this back of my throat feels so full and sore. And I’ve noticed it’s really puffy, almost like it’s swollen, and a weird shade of red. It’s been getting worse over the last couple of days.”"
swollen or red tonsils,4,"“It’s just… really uncomfortable. My throat feels like it’s closing up, and the tonsils are massively swollen and bright red. It’s almost painful to swallow, and everything tastes funny.”"
irregular belly button,1,"“It’s just… weird. My belly button, it’s not quite right. It seems to shift around, especially when I move, like it’s not attached properly. It’s not painful, just… off.”"
irregular belly button,2,"“It’s just… weird. My belly button, it just seems to shift around, you know? Like, one day it’s normal, and the next it looks like it’s moved a little bit to the side. It’s not painful, just… noticeable.”"
irregular belly button,3,"“It’s just… weird. It’s gotten wider, you know? And it feels kind of soft, not like it should. Like it’s not sitting right, and it’s changed shape a few times over the last couple of months. It’s just not normal, honestly.”"
irregular belly button,4,"“It’s… it’s just kind of weird. My stomach just feels…off. And my belly button, it’s not quite right. It looks like it’s shifted, like it’s not centered anymore. It’s a subtle thing, but it’s been bothering me for a few weeks now.”"
swollen tongue,1,"“It’s just…weird. My tongue feels like it’s massively swollen, like a golf ball. It’s really hard to stick my tongue out properly, and it’s incredibly sensitive to anything – even just brushing my teeth feels awful.”"
swollen tongue,2,"“It’s just…weird. My tongue feels like it’s twice its size. Really puffy, almost like I could barely stick my tongue out. It started a couple of days ago, and it just keeps getting bigger, even when I drink water.”"
swollen tongue,3,"It’s just…it feels like it’s getting bigger. Like, constantly. And sometimes it’s really hard to stick my tongue out properly, you know? It’s a weird sensation."
swollen tongue,4,"“It’s… it’s gotten really puffy. Like, all the time. My mouth feels weird, and this morning, when I woke up, my tongue was just… massively swollen. It’s hard to talk sometimes because it’s so bulky.”"
lip sore,1,"“It’s just… my lips have been so sore. Like, really raw. They’re cracking and bleeding a little, especially when I talk or try to smile. It’s been going on for about a week, and it’s just not getting better.”"
lip sore,2,"“It’s just… my lips are constantly sore. Like, raw, even when I’m not doing anything particularly strenuous. They get little cracks and they bleed a little, and it’s just really uncomfortable, especially in the mornings.”"
lip sore,3,"“It’s just… this little area on my lower lip. It’s really irritated, like there’s a constant stinging and it’s cracked up. It’s not a big deal, I don’t think, but it’s just persistent.”"
lip sore,4,"“It’s just… my lips are constantly getting these little sores. Like tiny blisters, and they just won’t heal properly. They’re really uncomfortable, especially when I talk or drink hot tea.”"
vulvar sore,1,"“It’s just… down there. It’s really itchy and sensitive. I’ve got this awful, raw sore, and it just burns when I wipe. It’s been getting worse, even with the creams I’ve been trying.”"
vulvar sore,2,"“It’s just… this area down there, near my opening. It’s really sore, like a persistent stinging, and it’s gotten worse over the last few days. It’s not really red, but it feels incredibly sensitive to everything – even just wearing underwear.”"
vulvar sore,3,"“It’s just… this area down there. It’s really sensitive, and there’s this persistent, angry-looking spot. It’s not painful all the time, but it stings like crazy if I move around too much or when I wipe. It just won’t go away.”"
vulvar sore,4,"“It’s just…down there. It started feeling a little itchy a few days ago, and then this sore developed. It’s not really painful, just…sensitive, and it’s gotten a bit red. It’s really bothering me, especially when I walk.”"
hip stiffness or tightness,1,"“It’s just… really hard to get my hip moving in the mornings. Like it’s completely frozen up, and it takes a good ten minutes of moving it around before it starts to loosen up properly.”"
hip stiffness or tightness,2,"“It’s just… my hip feels really locked up, you know? Like it’s stiff or tight, especially in the mornings. It gets a little better with movement, but then it just gets worse again, particularly after I’ve been sitting down for a while.”"
hip stiffness or tightness,3,"“It’s just… my leg, really. Especially in the mornings. It feels like it’s jammed up, like I haven’t moved it in ages. And then it gets worse with any kind of activity, like just walking to the kitchen.”"
hip stiffness or tightness,4,"“It’s just… getting up in the mornings is really difficult. My hip feels so tight, like it’s frozen, and it takes me ages to actually move around properly. It’s not a sharp pain, more of a constant feeling of restriction.”"
mouth pain,1,"“It’s just… really sore. Like, when I talk or even just chew, there’s this intense pain. It’s not constant, but it comes and goes, and it’s centered right in the middle of my mouth.”"
mouth pain,2,"“It’s just… it’s really painful when I eat. Like, a sharp, throbbing pain in the side of my mouth. It doesn’t really hurt when I’m just talking or drinking, just when anything touches it.”"
mouth pain,3,"“It’s just… this aching in my mouth. It’s not a sharp pain, really, more like a constant dullness, especially when I eat something hot or sweet. It feels like it’s deep down, and it’s been going on for a couple of weeks now.”"
mouth pain,4,"“It’s just… really uncomfortable. When I eat, especially anything cold or even just a little acidic, there’s this intense burning sensation in my mouth. Like a constant, sharp pain that doesn’t really go away.”"
arm weakness,1,"“It’s just… lately, my arm feels like it’s going to give way sometimes. Especially when I’m lifting things, or even just reaching for something across the room, it just feels weak, like I haven’t got the strength to control it properly.”"
arm weakness,2,"“It’s just… getting harder to lift things, you know? Like, yesterday I was unloading the dishwasher and my arm just sort of went dead. It’s not constant, but it happens, especially when I’ve been doing something for a while.”"
arm weakness,3,"“It’s just… getting harder to lift things. Like, I can manage groceries, but sometimes when I’m reaching for something on a high shelf, my arm just sort of… gives way. It feels like there’s a sort of heaviness there, and it doesn’t come back quickly.”"
arm weakness,4,"“It’s just… lately, my left arm feels like it’s going to give way sometimes. Like there’s no strength in it at all when I try to lift things, or even just reach for something across the room. It’s mostly when I’m tired, but it’s happening more often now.”"
leg lump or mass,1,"“It’s just… there’s this thing here, on my calf. It’s not painful, really, but it’s definitely there. Feels a bit hard, and it’s gotten a little bigger over the last couple of weeks, I think.”"
leg lump or mass,2,"“It’s just… there’s this little bump on my calf. It’s been getting a bit bigger, and it feels kind of hard, almost like bone underneath. It doesn’t really hurt, but it’s just… noticeable.”"
leg lump or mass,3,"“It’s just… there’s this thing here, you know? Right above my ankle, on my calf. It’s not painful, not really, but it's definitely there. It feels sort of hard, like maybe a little knot, and it’s gotten a little bigger over the last couple of weeks, I think.”"
leg lump or mass,4,"“It’s just… there’s this thing here, on my calf. It kind of feels like a hard knot, but it’s not always the same size. Sometimes it’s barely noticeable, and other times it’s quite raised. It doesn’t really hurt, but it’s just… unsettling.”"
disturbance of smell or taste,1,"“It’s just…everything tastes kind of flat, you know? And food just doesn’t smell the way it used to. Like, I can cook a whole meal and not even notice the spices, or anything. It’s really unsettling.”"
disturbance of smell or taste,2,"“It’s just… everything tastes kind of flat, you know? Like the food doesn’t have any real flavor. And I’ve noticed I can’t smell things I used to, like coffee or flowers. It’s gotten worse over the last couple of weeks, and it’s really frustrating.”"
disturbance of smell or taste,3,"“It’s just… everything tastes sort of muted, you know? Like someone turned the volume down on the flavors. And sometimes, like when I’m cooking, I just can’t smell the spices anymore. It’s really unsettling.”"
disturbance of smell or taste,4,"“It’s just… everything tastes kind of muted, you know? Like there’s a film over my tongue, and I’ve noticed I can’t really smell anything properly anymore. It’s particularly noticeable with food, but even scents like lavender or coffee just don’t seem to hit me the way they used to.”"
discharge in stools,1,"“It’s just… it’s been weird. I’ve been noticing this sort of watery discharge in my stools, especially in the mornings. It’s not always there, but when it is, it’s really noticeable – kind of clear and slippery.”"
discharge in stools,2,"“It’s just… this loose stool, you know? It’s been going on for about a week now, and it’s just not solid at all. There’s a lot of discharge in my stools, kind of watery and it’s starting to worry me.”"
discharge in stools,3,"“It’s just… well, it’s like there’s something coming out with my bowel movements. It’s not a solid, it’s more watery and there’s a noticeable amount coming through, you know?”"
discharge in stools,4,"“It’s just…my bowel movements have been really weird lately. There’s this…fluid coming out with them. It’s not always there, but when it is, it’s a milky kind of thing.”"
penis pain,1,"“It’s… it’s a pain down there. Kind of a dull ache, but sometimes it spikes, like a really sharp stab. It’s been going on for about a week, and it’s getting worse, honestly. It doesn’t seem to be tied to anything specific, like sex or anything.”"
penis pain,2,"“It’s…it’s a really weird ache down there. Like a dull throbbing, but sometimes it shoots up, especially when I move a certain way. It’s not constant, but it’s definitely there, and it’s starting to worry me.”"
penis pain,3,"“It’s…it’s just a really persistent ache down there. It comes and goes, and sometimes it’s sharp, like a stabbing pain. It’s hard to describe, but it’s definitely localized to that area.”"
penis pain,4,"“It’s…it’s just a really persistent ache down there. Like a dull throbbing, mostly, but sometimes it feels sharp, like something’s pressing on it. It comes and goes, and I can’t really figure out what’s triggering it.”"
loss of sex drive,1,"“It’s just… it’s gotten so much harder to even think about intimacy lately. Like, a real lack of interest, you know? It’s completely taken the fun out of things, and my partner’s understandably frustrated.”"
loss of sex drive,2,"“It’s just…it’s not like it used to be. Honestly, intimacy feels really forced, and I’ve lost almost all interest in sex. It’s really brought a wedge between my partner and me.”"
loss of sex drive,3,"“It’s just…it’s like I don’t even *want* to think about it, you know?  Things that used to feel really good just don’t anymore. It’s like a switch flipped, and there’s no turning it back on. It's really frustrating, and honestly, it's making me feel really down."""
loss of sex drive,4,"“It’s just… it’s gotten really difficult to even think about intimacy lately. It feels like a switch has flipped, and there’s just no desire. It’s not like I’m unhappy with my partner, it’s just… nothing.”"
obsessions and compulsions,1,"“It’s…it’s really hard to explain. I just can’t stop thinking about certain things – like germs, mostly. And then I have to do these little things, over and over, to try and make the anxiety go away. I have to wash my hands constantly, even if they’re already clean, and I’ll rearrange things, like my pens or my pillows, until they’re perfectly symmetrical. It’s exhausting, and I feel like I’m losing control.”"
obsessions and compulsions,2,"“It’s… it’s gotten really bad lately. I can’t seem to stop myself. I find myself repeatedly checking the locks on the doors and windows, even though I know they’re secure. And then I have to do it again, and again, and again, until I just feel… calm. But it’s exhausting. It’s like a voice in my head is telling me I need to do it, and if I don’t, something terrible will happen.”"
obsessions and compulsions,3,"“It’s…it’s hard to explain, really. I just can’t seem to stop. I have these thoughts, these images, that pop into my head and I just *have* to do something about them. Little things, mostly – I have to arrange my pens in a very specific order, or check the locks on the doors multiple times, even if I know they’re locked. And if I don’t do those things, I get this overwhelming anxiety, like I’m on the verge of a panic attack. It’s completely consuming me.”"
obsessions and compulsions,4,"“It’s…it’s like I can’t just *stop* myself. I find myself doing things, little actions, over and over again. Like, I have to wash my hands constantly, even when they’re already clean. And I worry about things – really specific things – and it just won’t go away. It feels completely out of my control, and it’s exhausting.”"
antisocial behavior,1,"“It’s…it’s just gotten so hard to connect with people lately. I find myself pulling away, not really caring about what’s going on with my friends or family. I’ve cancelled plans repeatedly, and honestly, I don’t feel particularly sad about it. It’s more like…a detachment. Like I’m watching everything happen around me without really being involved.”"
antisocial behavior,2,"“It’s… it’s gotten really difficult to connect with people, you know? I find myself just withdrawing, not really wanting to be around anyone. I used to enjoy spending time with my friends, but now I actively avoid it. It’s like I don't care about their feelings or what’s going on with them. I feel almost… detached. I know it’s probably a really strange thing to say, but I just don’t feel the usual empathy, or the urge to reach out.”"
antisocial behavior,3,"“It’s just…difficult. People. I don’t…I don’t really connect with them the way other people do. It’s not that I *want* to be distant, but I find it hard to care about what they’re going through, you know? Like, if someone’s upset, I just…I don’t really feel it. And honestly, I sometimes struggle to follow through with commitments, like, if I say I’ll do something, I often don’t. It’s a pattern, I think. It’s incredibly isolating, and I’m not sure why it’s happening.”"
antisocial behavior,4,"“It’s…it’s hard to explain, but I just don’t seem to connect with people the way other people do. I find myself avoiding social situations, and honestly, I don't really care if people notice. I’ve noticed I’m frequently disregarding others’ feelings, and it’s not out of malice, exactly, but I genuinely don't consider them. It’s like I’m operating on a different level, and it's causing a lot of strain in my relationships.”"
neck cramps or spasms,1,"“It’s just… my neck. It’s been really tight, and I get these sudden, sharp cramps in it. Like a knot just tightening up, and then releasing. It happens mostly when I’m stressed, I think, but it’s happening more frequently now, even when I’m not particularly worried.”"
neck cramps or spasms,2,"“It’s just… this awful tightness in my neck. Like a constant, really strong pull, especially when I’m sitting at my desk. It comes and goes, but it’s been getting worse lately, and sometimes it feels like my muscles are just locking up.”"
neck cramps or spasms,3,"“It’s just… my neck. It feels really tight, like it’s constantly clenching up, and sometimes it just… locks. It’s painful, especially when I turn my head. It comes and goes, but it’s been getting worse lately.”"
neck cramps or spasms,4,"“It’s just… a really tight feeling in my neck, mostly on the right side. Like a constant pulling and it’ll just seize up, especially when I’m sitting at my desk for too long. It’s uncomfortable, and sometimes it feels like it’s actually cramping up.”"
pupils unequal,1,"“It’s just… sometimes, when I’m really tired, or if I’ve been staring at a screen for a long time, my eyes feel crossed. Like, one eye seems bigger than the other, you know?”"
pupils unequal,2,"“It’s just… sometimes when I look straight ahead, one eye seems a little darker than the other. Like there’s less light coming in. It’s really subtle, and it’s not constant, but it’s there.”"
pupils unequal,3,"“It’s just…one eye seems darker than the other, you know? Like sometimes when I blink, they look completely different. It’s a little unsettling, to be honest.”"
pupils unequal,4,"“It’s just…one eye seems to darken more than the other, you know? Like when I look at a bright light, it’s just noticeably different. It’s a weird feeling, and honestly, a little unsettling.”"
poor circulation,1,"“It’s mostly in my feet, you know? They get so cold and numb, especially at night. And sometimes, like when I’m just sitting, they feel… almost like they’re not getting enough blood.”"
poor circulation,2,"“It’s just… my feet, you know? They’re always cold, even when the rest of me is warm. And sometimes, like right now, there’s this weird tingling in them, like they’re not getting enough blood.”"
poor circulation,3,"“It’s mostly in my feet, you know? They get so cold, and sometimes…like, numb. Especially at night. And my toes, they get these awful, dark patches, like they’re not getting enough blood.”"
poor circulation,4,"“It’s mostly in my feet, you know? They get so cold and numb, especially at night. Like there’s just… no blood getting through. And sometimes my toes turn really pale.”"
thirst,1,"“It’s just… relentless, you know? Like my mouth is constantly sandpaper. I drink, I drink, and I still feel this overwhelming thirst, even after I’ve had a huge glass of water. It’s really getting me down.”"
thirst,2,"“It’s just… I can’t seem to drink enough. No matter how much I drink, I’m still so incredibly thirsty. It’s constant, you know? Like my mouth is always sandpaper.”"
thirst,3,"“It’s just… I can’t seem to get enough of it. I drink constantly, like, all day long. It’s not even necessarily when I’m thirsty, really. It’s just a need, a pull, and I’m exhausted from trying to keep up with it.”"
thirst,4,"“It’s just… constant. Like my mouth is always sandpaper, even after I’ve had a huge glass of water. I can’t seem to quench anything, really. It’s a nagging feeling, this intense need to drink, and it’s exhausting.”"
sleepwalking,1,"“It’s really strange, Doctor. I just… I keep waking up in the middle of the night, and I’ve been doing things. Last week, I found myself in the kitchen around 3 am, making toast. I have no memory of it at all. It’s happened a few times now, always when I’m completely asleep. It’s really unsettling.”"
